record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1762547128,2025-11-07 20:25:28,60,12,55,5,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2,1762550728,2025-11-07 21:25:28,60,12,50,10,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3]"
3,1762554328,2025-11-07 22:25:28,60,12,40,20,0,"[0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
4,1762557928,2025-11-07 23:25:28,15,3,15,0,0,"[0, 0, 0]"
5,1762598466,2025-11-08 10:41:06,45,9,15,25,5,"[1, 3, 0, 14, 24, 0, 0, 0, 16]"
6,1762605854,2025-11-08 12:44:14,15,3,0,15,0,"[7, 5, 0]"
7,1762622387,2025-11-08 17:19:47,60,12,0,60,0,"[2, 1, 0, 4, 7, 11, 7, 6, 1, 1, 1, 8]"
8,1762625987,2025-11-08 18:19:47,60,12,0,60,0,"[7, 0, 1, 8, 3, 14, 2, 1, 5, 4, 2, 1]"
9,1762629587,2025-11-08 19:19:47,60,12,15,45,0,"[19, 8, 6, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
10,1762633187,2025-11-08 20:19:47,60,12,55,5,0,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,1762636787,2025-11-08 21:19:47,60,12,45,15,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
12,1762640387,2025-11-08 22:19:47,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,1762643987,2025-11-08 23:19:47,60,12,40,20,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0]"
14,1762647587,2025-11-09 00:19:47,60,12,30,30,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 0, 0]"
15,1762651187,2025-11-09 01:19:47,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
16,1762654787,2025-11-09 02:19:47,60,12,25,35,0,"[0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 2, 0]"
17,1762656489,2025-11-09 02:48:09,20,4,0,20,0,"[1, 0, 8, 6]"
18,1762658387,2025-11-09 03:19:47,60,12,30,30,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
19,1762661987,2025-11-09 04:19:47,10,2,0,10,0,"[2, 0]"
20,1762695826,2025-11-09 13:43:46,60,12,35,25,0,"[3, 3, 3, 15, 0, 0, 0, 0, 0, 0, 0, 3]"
21,1762700203,2025-11-09 14:56:43,60,12,50,10,0,"[2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
22,1762703803,2025-11-09 15:56:43,50,10,25,25,0,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 1]"
23,1762709194,2025-11-09 17:26:34,40,8,0,40,0,"[1, 2, 6, 10, 3, 5, 2, 2]"
24,1764717947,2025-12-02 23:25:47,30,6,0,30,0,"[1, 2, 4, 1, 0, 3]"
25,1764719662,2025-12-02 23:54:22,60,12,0,60,0,"[3, 1, 1, 3, 1, 5, 4, 2, 3, 1, 4, 10]"
26,1764722500,2025-12-03 00:41:40,60,12,0,60,0,"[3, 5, 2, 0, 10, 6, 2, 1, 1, 0, 5, 3]"
27,1764726100,2025-12-03 01:41:40,20,4,0,20,0,"[6, 3, 5, 3]"
28,1764727678,2025-12-03 02:07:58,45,9,0,45,0,"[0, 3, 3, 0, 4, 0, 6, 3, 18]"
29,1764729917,2025-12-03 02:45:17,35,7,0,35,0,"[4, 1, 1, 2, 2, 14, 6]"
30,1764731986,2025-12-03 03:19:46,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
31,1764735586,2025-12-03 04:19:46,60,12,15,45,0,"[0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0]"
32,1764739186,2025-12-03 05:19:46,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 11]"
33,1764740369,2025-12-03 05:39:29,25,5,0,25,0,"[0, 1, 0, 0, 10]"
34,1764741501,2025-12-03 05:58:21,60,12,50,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4]"
35,1764742786,2025-12-03 06:19:46,5,1,0,5,0,[0]
36,1764789901,2025-12-03 19:25:01,60,12,0,60,0,"[2, 1, 1, 1, 1, 0, 0, 2, 1, 8, 0, 3]"
37,1764793501,2025-12-03 20:25:01,60,12,0,60,0,"[0, 2, 2, 1, 4, 0, 0, 1, 1, 16, 6, 3]"
38,1764797101,2025-12-03 21:25:01,60,12,50,10,0,"[0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,1764800701,2025-12-03 22:25:01,60,12,35,25,0,"[2, 0, 0, 0, 1, 5, 0, 0, 0, 0, 2, 0]"
40,1764804301,2025-12-03 23:25:01,60,12,45,15,0,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,1764807901,2025-12-04 00:25:01,60,12,40,20,0,"[0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
42,1764811501,2025-12-04 01:25:01,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
43,1764815101,2025-12-04 02:25:01,60,12,55,5,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,1764818701,2025-12-04 03:25:01,60,12,50,10,0,"[0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0]"
45,1764822301,2025-12-04 04:25:01,60,12,50,10,0,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4]"
46,1764825901,2025-12-04 05:25:01,60,12,50,10,0,"[0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0]"
47,1764829501,2025-12-04 06:25:01,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,1764833101,2025-12-04 07:25:01,60,12,15,45,0,"[0, 4, 8, 0, 6, 3, 1, 3, 0, 0, 0, 2]"
49,1764836701,2025-12-04 08:25:01,10,2,0,10,0,"[0, 18]"
50,1764840833,2025-12-04 09:33:53,15,3,0,15,0,"[5, 1, 1]"
